item,quantity,category,tags,current location,weight,owner,intended location,notes,location notes,potential sell / discard
australia athens olympics towel,1,,,amazonbasics packing cube (medium) - 1,,,,,,
roland garros 2007 towel (blue),1,,,,,,,,,
roland garros 2008 towel (red),1,,,,,,,,,
orange nike tracksuit top,1,,,amazonbasics packing cube (medium) - 2,,,,,,
orange nike tracksuit pants,1,,,amazonbasics packing cube (medium) - 2,,,,,,
maroon lightweight nike tracksuit top,1,,,amazonbasics packing cube (medium) - 2,,,,,,
maroon lightweight nike tracksuit pants,1,,,amazonbasics packing cube (medium) - 2,,,,,,
paul smith shorts (blue),1,,,amazonbasics packing cube (medium) - 2,,,,,,
black linen shorts ('plane'),1,,,amazonbasics packing cube (medium) - 2,,,,,,
black wool? jumper,1,clothes,,kmart box 2,,,,,,
black/grey wool? cos jumper with slight turtleneck,1,clothes,,kmart box 2,,,,,,
green cos zip up jacket,1,clothes,,kmart box 2,,,,,,
blue 'plane' zip up jacket,1,clothes,,kmart box 2,,,,,,
cord shirt jacket with orange interior,1,clothes,,kmart box 2,,,,,,
orange uniqlo crew neck jumper,1,clothes,,kmart box 2,,,,,,
grey thin jumper,1,clothes,,,,,,,,
harvard maroon jumper,1,clothes,,,,,,,,
dickies black pants,1,clothes,,,,,,,,
linen 'plane' pants with brown belt,1,clothes,,,,,,,,
reversible zip up black jacket,1,clothes,,,,,,,,
black australian stitch hoodie,2,clothes,,,,,,,,
grey nike tech fleece pants,1,clothes,,,,,,,,
nike packable running jacket,1,clothes,,kmart box 2,,,,,,
black kmart tracksuit pants,1,clothes,,,,,,,,
uniqlo uld down vest,1,clothes,,,,,,,,
uniqlo uld down jacket,1,clothes,,,,,,,,
spare airtag,1,,,CAP2 Brown,,,,,,
peak design everyday iphone 13 mini case,1,,,CAP2 Brown,,,,,,
earplugs,1,,,CAP2 Brown,,,,,,
nikecourt black tshirt,1,clothes,,,,,,,,
oversized white green/blue short sleeve shirt,1,clothes,,,,,,,,
black uniqlo 'u' tshirt (size large),2,clothes,,,,,,,,
plane' blue short sleeve collared shirt,1,clothes,,,,,,,,
lewagon grey 'all you need is code' tshirt,1,clothes,,,,,,,,
white uniqlo 'u' tshirt (size large),1,clothes,,,,,,,,
grey uniqlo 'u' tshirt (size large),1,clothes,,,,,,,,
green fila tshirt,,clothes,,,,,,,,
orange/blue heavy flannel shirt,,clothes,,,,,,,,
green/blue flannel shirt,,clothes,,,,,,,,
fred perry 'army' green check shirt,,clothes,,,,,,,,
uniqlo white linen shirt,,clothes,,,,,,,,
new balance long sleeve exercise-material shirt,2,clothes,,,,,,,,
orange shirt sleeve ralph lauren shirt,1,clothes,,,,,,,,
cockaleechie fishing club tshirt,1,clothes,,,,,,,,
hutch' long sleeve tshirt,1,clothes,,,,,,,,
pink flannel shirt,1,clothes,,,,,,,,
evergoods TPC8 packing cube black,2,bags,,bedroom cupboard / amazonbasics packing cube (medium),,,,,,
evergoods TPC8 packing cube orange,1,bags,,bedroom cupboard / amazonbasics packing cube (medium),,,,,,
peak design packing cube (medium),1,bags,,bedroom cupboard / amazonbasics packing cube (medium),,,,,,
peak design packing cube (small),1,bags,,bedroom cupboard / amazonbasics packing cube (medium),,,,,,
